"","participant","age","place","item","value","agreement","Sum","Svartid"
"148","21796082",">70","Volda","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 27 sekund"
"149","21796098","30-39","Volda","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 18 sekund"
"150","21796110","40-49","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 2 sekund"
"151","21796112","40-49","Vanylven","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 1 sekund"
"152","21796116","60-69","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","56 sekund"
"153","21796124","50-59","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 4 sekund"
"154","21796194","30-39","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","45 sekund"
"155","21796228","60-69","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","55 sekund"
"156","21796242","60-69","Volda","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","54 sekund"
"157","21796244","60-69","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","4 minutt 19 sekund"
"158","21796249","50-59","Volda","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 57 sekund"
"159","21796250","40-49","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 13 sekund"
"160","21796269","30-39","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 57 sekund"
"161","21796274","40-49","Ørsta/Vanylven","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 43 sekund"
"162","21796292","50-59","Volda","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","53 sekund"
"163","21796405","50-59","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 29 sekund"
"164","21796450","30-39","Vanylven","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","39 sekund"
"165","21797093","50-59","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 1 sekund"
"166","21797447","40-49","Volda","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 17 sekund"
"167","21797461","30-39","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 14 sekund"
"168","21797475","30-39","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","58 sekund"
"169","21797736","30-39","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","3 minutt 21 sekund"
"170","21797765","50-59","Volda","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","38 sekund"
"171","21797770","40-49","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt"
"172","21797778","50-59","Volda","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 2 sekund"
"173","21797780","50-59","Ulstein","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 13 sekund"
